text,sentiment
This movie was absolutely brilliant and touching,positive
Worst film I have ever seen in my life,negative
The acting was okay nothing special,neutral
I loved every single moment of this masterpiece,positive
Complete waste of time and money,negative
The story was average but visuals were good,neutral
Outstanding performance by the entire cast,positive
I fell asleep halfway through the movie,negative
Not bad but not great either,neutral
A cinematic experience unlike any other,positive
The plot had too many holes and was confusing,negative
Decent movie worth watching once,neutral
Incredible direction and stunning cinematography,positive
Terrible script and poor character development,negative
The movie was fine nothing extraordinary,neutral